COUNTRIES,NATIONAL_INCOME,2023,GROWTH,GROWTH_PER_CAPITA,RANK,CONTINENT
United States,20412.87,24537,2.27,62152,9,North America
China,14092.51,21574,6.86,10088,72,Asia
Japan,5167.05,5962,1.71,40849,25,Asia
Germany,4211.64,5272,2.51,50842,17,Europe
United Kingdom,2936.29,3477,1.79,44177,23,Europe
France,2925.1,3586,1.85,44934,21,Europe
India,2848.23,4663,6.74,2135,142,Asia
Italy,2181.97,2554,1.47,35914,27,Europe
Brazil,2138.92,2717,0.98,10224,71,South America
Canada,1798.51,2434,3,48466,20,North America
Russia,1719.9,1974,1.55,11947,65,Europe
Korea,1693.25,2155,3.09,32775,29,Asia
Spain,1506.44,1875,3.05,32559,31,Europe
Australia,1500.26,1958,2.27,59655,11,Oceania
Mexico,1212.83,1586,2.04,9723,74,North America
Indonesia,1074.97,1549,5.07,4052,116,Asia
Netherlands,945.33,1168,3.11,55185,13,Europe
Turkey,909.89,1224,7.05,11114,68,Asia
Saudi Arabia,748,866,-0.74,2265,42,Asia
Switzerland,741.69,929.3,1.07,86835,2,Europe
Argentina,625.92,831.7,2.86,14044,60,South America
Poland,614.19,793.2,4.55,1618,55,Europe
Taiwan Province of China,613.3,659.6,2.79,25977,37,Asia
Sweden,600.77,745,2.4,58345,12,Europe
Belgium,562.23,685.8,1.71,49272,18,Europe
Thailand,483.74,649.9,3.9,6992,85,Asia
Austria,477.67,595.4,2.9,53764,14,Europe
Norway,443.25,520.6,1.81,82711,5,Europe
Islamic Republic of Iran,418.88,472.3,4.28,5086,102,Asia
United Arab Emirates,411.83,515.4,0.53,39484,26,Asia
Nigeria,408.61,873.9,0.82,2108,143,Africa
Ireland,385.14,505.6,7.81,80641,6,Europe
Israel,373.75,482.1,3.32,42115,24,Asia
South Africa,370.89,455.8,1.32,6459,91,Africa
Denmark,369.76,465.4,2.11,6383,8,Europe
Malaysia,364.92,568,5.9,11237,67,Asia
Hong Kong SAR,364.78,489.8,3.82,48829,19,Asia
Singapore,349.66,437.8,3.62,61767,10,Asia
Philippines,332.45,523,6.67,3095,131,Asia
Colombia,327.98,435,1.77,6581,89,South America
Pakistan,324.73,471.4,5.28,1615,151,Asia
Finland,289.56,356.8,2.99,52422,15,Europe
Bangladesh,285.82,444.2,7.14,1734,150,Asia
Chile,280.27,359.8,1.47,15087,58,South America
Egypt,253.25,367.6,4.23,2611,135,Africa
Czech Republic,251.58,358.2,4.29,2375,40,Europe
Portugal,248.89,301.8,2.67,24237,39,Europe
Romania,245.59,350.6,7,12575,63,Europe
Vietnam,240.78,373.8,6.81,2546,137,Asia
Peru,231.57,311.2,2.51,7199,84,South America
